# VELOCITY:     AVE_POFV:        ERROR:
           0           0           0
    0.266667           0           0
    0.533333           0           0
         0.8           0           0
     1.06667           0           0
     1.33333           0           0
         1.6           0           0
     1.86667    0.153935   0.0215391
     2.13333     1.24595   0.0807962
         2.4     1.61343   0.0242302
     2.66667     0.70081    0.065355
     2.93333   0.0358796  0.00725254
         3.2           0           0
     3.46667           0           0
     3.73333           0           0
           4           0           0
     4.26667           0           0
     4.53333           0           0
         4.8           0           0
     5.06667           0           0
     5.33333           0           0
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
           0  0.00887153 0.000454548
    0.266667   0.0594965  0.00105849
    0.533333   0.0925347  0.00136718
         0.8    0.204774   0.0022081
     1.06667    0.311476  0.00320832
     1.33333    0.384253  0.00332659
         1.6    0.489618  0.00420911
     1.86667    0.483958  0.00313816
     2.13333    0.479722  0.00511549
         2.4    0.395035  0.00694881
     2.66667    0.348889  0.00418881
     2.93333    0.190573   0.0028745
         3.2    0.152604  0.00250853
     3.46667    0.073316  0.00154475
     3.73333   0.0293229 0.000953049
           4   0.0217014 0.000623695
     4.26667   0.0184375 0.000548441
     4.53333  0.00293403 0.000229874
         4.8  0.00178819 0.000191384
     5.06667 0.000416667 7.63875e-05
     5.33333 0.000277778 6.13212e-05
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
           0     0.00625 0.000264072
    0.266667   0.0464497   0.0006881
    0.533333    0.150556  0.00157951
         0.8    0.277595  0.00203772
     1.06667    0.368611  0.00225499
     1.33333    0.415547   0.0022762
         1.6     0.52737  0.00243217
     1.86667    0.509809  0.00215177
     2.13333    0.411866  0.00303657
         2.4    0.319071  0.00390502
     2.66667     0.29013  0.00245594
     2.93333    0.148915  0.00177665
         3.2    0.120955  0.00150195
     3.46667   0.0571267 0.000923037
     3.73333   0.0331337 0.000599209
           4   0.0331858 0.000558011
     4.26667   0.0288281 0.000418372
     4.53333  0.00304687 0.000165942
         4.8   0.0012066 0.000109908
     5.06667 0.000208333 3.83952e-05
     5.33333 0.000138889 3.07722e-05
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
           0   0.0105816 0.000228776
    0.266667   0.0636589 0.000556043
    0.533333    0.178845  0.00111659
         0.8    0.291562  0.00132801
     1.06667    0.400577  0.00144923
     1.33333    0.441962  0.00148334
         1.6    0.521063  0.00152332
     1.86667    0.479779  0.00154494
     2.13333    0.401784  0.00175994
         2.4    0.320135  0.00215521
     2.66667    0.272786  0.00141854
     2.93333    0.135308  0.00103637
         3.2    0.103828  0.00103837
     3.46667   0.0491406 0.000584708
     3.73333   0.0265321 0.000403461
           4   0.0208984 0.000358143
     4.26667   0.0223307 0.000355053
     4.53333  0.00765625 0.000184202
         4.8  0.00126736 7.82671e-05
     5.06667 0.000234375 2.82727e-05
     5.33333 6.94444e-05  1.5414e-05
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
