#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.12532    -1.12532           0
           2   -0.587128   -0.856222    0.190278
           3   -0.473548   -0.728664    0.164131
           4   -0.490058   -0.669013    0.133499
           5   -0.425657   -0.620341     0.11533
           6   -0.430035   -0.588624    0.100375
           7    -0.39073   -0.560353   0.0899292
           8   -0.426611   -0.543635   0.0802269
           9   -0.412499   -0.529065   0.0726239
          10   -0.373962   -0.513554   0.0669973
          11   -0.357132   -0.499334   0.0623975
          12   -0.396049   -0.490727   0.0577883
          13   -0.380213   -0.482226   0.0539647
          14   -0.384671   -0.475258    0.050558
          15   -0.350186    -0.46692   0.0478701
          16   -0.378468   -0.461391   0.0451963
          17   -0.368385    -0.45592   0.0428675
          18   -0.374445   -0.451394   0.0407243
          19   -0.378218   -0.447543   0.0387626
          20    -0.43131   -0.446731   0.0368329
          21   -0.444603    -0.44663   0.0350791
          22   -0.383498    -0.44376   0.0336018
          23   -0.382427   -0.441093   0.0322465
          24   -0.453401   -0.441606    0.030907
          25   -0.395677   -0.439769   0.0297252
          26   -0.368355   -0.437022   0.0287086
          27   -0.407055   -0.435912   0.0276667
          28   -0.439747   -0.436049    0.026679
          29   -0.409287   -0.435126    0.025775
          30   -0.391831   -0.433683   0.0249562
          31   -0.387723   -0.432201   0.0241951
          32   -0.392696   -0.430966   0.0234705
          33   -0.375175   -0.429276   0.0228201
          34    -0.36795   -0.427472   0.0222201
          35   -0.334809   -0.424824   0.0217424
          36    -0.33976   -0.422461   0.0212664
          37   -0.383632   -0.421412   0.0207175
          38   -0.331998   -0.419059   0.0203055
          39   -0.359638   -0.417535   0.0198419
          40    -0.34644   -0.415758   0.0194253
          41   -0.366234    -0.41455   0.0189891
          42   -0.374484   -0.413596   0.0185609
          43   -0.389962   -0.413047   0.0181374
          44   -0.397696   -0.412698   0.0177285
          45    -0.40593   -0.412547   0.0173352
          46   -0.401132   -0.412299   0.0169601
          47   -0.391193    -0.41185   0.0166052
          48   -0.367146   -0.410919   0.0162854
          49   -0.377157    -0.41023   0.0159676
          50   -0.354454   -0.409114   0.0156871
