#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00964     2.00964           0
           2     2.06597     2.03781   0.0199159
           3     2.15832     2.07798   0.0353842
           4     2.06689      2.0752   0.0266464
           5     1.78931     2.01803   0.0554065
           6     2.13472     2.03748   0.0494681
           7     2.15004     2.05356   0.0449388
           8     2.19865     2.07169   0.0428254
           9     2.12301     2.07739   0.0384447
          10     2.09928     2.07958   0.0346625
          11     2.09654     2.08112   0.0315456
          12     2.06391     2.07969   0.0289494
          13     2.02696     2.07563   0.0270052
          14     2.01934     2.07161   0.0253738
          15     2.07943     2.07213   0.0236876
          16     2.02566     2.06923   0.0223845
          17     1.98225     2.06411   0.0216446
          18     2.00667     2.06092    0.020676
          19     1.97087     2.05618   0.0201237
          20     1.93006     2.04988   0.0200812
          21     1.90923     2.04318   0.0202109
          22      1.8385     2.03388   0.0213265
          23     1.78371       2.023   0.0230063
          24     1.80852     2.01406     0.02372
          25     1.81185     2.00597   0.0241109
          26     1.77437     1.99707   0.0247746
          27     1.76201     1.98836   0.0253405
          28     1.76299     1.98031   0.0256819
          29     1.72342     1.97145   0.0262797
          30     1.73021     1.96341   0.0266055
          31     1.72744      1.9558   0.0268141
          32      1.6542     1.94637   0.0275829
          33      1.6674     1.93792   0.0280125
          34     1.68534     1.93049   0.0281565
          35     1.67815     1.92328     0.02826
          36     1.65233     1.91576   0.0284596
          37     1.62061     1.90778   0.0287867
          38     1.60802     1.89989   0.0290899
          39       1.604      1.8923   0.0293167
          40     1.57934     1.88448   0.0296094
          41     1.57282     1.87688    0.029847
          42     1.57263     1.86963   0.0300026
          43     1.55516     1.86232   0.0301831
          44     1.52281      1.8546   0.0304674
          45     1.50873     1.84692   0.0307446
          46     1.51792     1.83977   0.0308969
          47     1.50912     1.83273   0.0310301
          48     1.50152     1.82583   0.0311414
          49     1.50266     1.81924   0.0311964
          50     1.49513     1.81275   0.0312387
          51     1.49312     1.80649   0.0312485
          52     1.47793     1.80017   0.0312799
          53     1.47621     1.79406   0.0312812
          54     1.48442     1.78832   0.0312231
          55     1.48469      1.7828   0.0311396
          56     1.48226     1.77743   0.0310426
          57     1.47948     1.77221   0.0309349
          58     1.45101     1.76667   0.0308933
          59     1.47241     1.76168   0.0307696
          60     1.47791     1.75695   0.0306181
          61     1.47862     1.75239   0.0304543
