#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426763    0.426763           0
           2    0.425151    0.425957 0.000570137
           3    0.423493    0.425136 0.000770709
           4    0.419711    0.423779  0.00130907
           5    0.414485    0.421921  0.00196497
           6     0.40682    0.419404  0.00282127
           7    0.418687    0.419301  0.00242009
           8    0.427493    0.420325  0.00232414
           9     0.41973    0.420259  0.00206684
          10    0.422361    0.420469  0.00187081
          11    0.420052    0.420432  0.00170112
          12    0.417531     0.42019  0.00157644
          13    0.412299    0.419583  0.00156768
          14    0.426761    0.420096  0.00153726
          15     0.42322    0.420304  0.00144882
          16    0.425871    0.420652  0.00139943
          17    0.413417    0.420226  0.00138031
          18     0.41586    0.419984  0.00132476
          19    0.427206    0.420364  0.00130843
          20     0.41449     0.42007  0.00127555
