#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.485336   -0.485336           0
           2   -0.482296   -0.483816   0.0010748
           3    -0.48138   -0.483004 0.000976209
           4   -0.483764   -0.483194 0.000750419
           5   -0.482784   -0.483112 0.000604799
           6   -0.483644   -0.483201 0.000510457
           7   -0.484688   -0.483413 0.000479722
           8    -0.48236   -0.483282 0.000437447
           9   -0.485176   -0.483492  0.00043656
          10   -0.482324   -0.483375  0.00040823
          11   -0.483744   -0.483409 0.000372492
          12   -0.480848   -0.483195 0.000397908
          13     -0.4794   -0.482903 0.000462155
          14     -0.4822   -0.482853 0.000431866
          15   -0.480424   -0.482691 0.000432373
          16   -0.484876   -0.482828 0.000426367
          17   -0.485348   -0.482976 0.000426282
          18   -0.483992   -0.483032 0.000406319
          19     -0.4819   -0.482973 0.000389281
          20   -0.482408   -0.482945  0.00037084
