#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.330662    0.330662           0
           2    0.271274    0.300968   0.0209968
           3    0.259699    0.287212   0.0179471
           4    0.290832    0.288117   0.0134831
           5    0.307297    0.291953   0.0113191
           6    0.290222    0.291664  0.00943622
           7    0.266307    0.288042  0.00875594
           8    0.291116    0.288426  0.00766987
           9    0.293648    0.289006  0.00683958
          10     0.31511    0.291617  0.00663508
          11    0.306118    0.292935  0.00616146
          12    0.265679    0.290664  0.00605219
          13    0.300439    0.291416  0.00563316
          14    0.312612     0.29293  0.00543044
          15    0.222056    0.288205  0.00682094
          16    0.285175    0.288015  0.00639726
          17    0.321219    0.289969  0.00631207
          18    0.266061     0.28864  0.00609954
          19    0.320426    0.290313  0.00600355
          20    0.306177    0.291106  0.00575553
