#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.57716     2.57716           0
           2       2.559     2.56808  0.00641864
           3     2.42988     2.52201   0.0378552
           4     2.53269     2.52468   0.0284852
           5     2.53182     2.52611   0.0228239
           6     2.40687     2.50624   0.0262847
           7     2.57506     2.51607   0.0242993
           8     2.55901     2.52144   0.0218467
           9     2.66061      2.5369   0.0242829
          10     2.50063     2.53327   0.0221238
          11     2.68264     2.54685   0.0239194
          12     2.70645     2.56015   0.0253556
          13        2.56     2.56014   0.0234051
          14     2.56197     2.56027   0.0217337
          15     2.52999     2.55825   0.0203783
          16     2.56557     2.55871   0.0191098
          17     2.63798     2.56337   0.0185458
          18     2.51209     2.56052    0.017733
          19     2.50566     2.55764   0.0170331
          20     2.55843     2.55768   0.0161815
