#   N_BLOCK:  ACCEPTANCE:
           1    0.509583
           2    0.511435
           3    0.509758
           4    0.509213
           5    0.509463
           6    0.508439
           7    0.509094
           8    0.510014
           9    0.509964
          10    0.509931
          11    0.510205
          12    0.510307
          13    0.510217
          14    0.509566
          15     0.50957
          16    0.509657
          17    0.509802
          18    0.510126
          19    0.510145
          20    0.509737
          21    0.509955
          22    0.510113
          23    0.510044
          24    0.509951
          25    0.509952
          26     0.50985
          27    0.509749
          28    0.509836
          29    0.509731
          30    0.509798
          31    0.509931
          32    0.509902
          33    0.509951
          34    0.510094
          35    0.510147
          36    0.510168
          37    0.510097
          38     0.50994
          39    0.510018
          40    0.510111
