# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438  0.00064841 1.82595e-06
    0.872088   0.0487566 2.00168e-05
    0.897737    0.980157 0.000124813
    0.923387     6.66374 0.000358281
    0.949037     22.6564 0.000874969
    0.974686     48.2032  0.00154755
     1.00034     74.8254  0.00141406
     1.02599     93.7554   0.0016378
     1.05164     102.038   0.0013517
     1.07728     102.153  0.00141488
     1.10293      96.295  0.00134305
     1.12858     88.2227  0.00160582
     1.15423     78.9725  0.00130796
     1.17988     70.1256   0.0014683
     1.20553     62.4865  0.00153234
     1.23118     55.3749  0.00135081
     1.25683     49.6056  0.00129978
     1.28248     44.7939  0.00137368
     1.30813     40.7884  0.00125633
     1.33378     37.4016  0.00116392
     1.35943     34.7305  0.00105657
     1.38508     32.4808  0.00119266
     1.41073     30.7941  0.00115584
     1.43638     29.4286  0.00117256
     1.46203     28.3865   0.0012727
     1.48768     27.6372  0.00144282
     1.51333     27.2078  0.00137184
     1.53898     26.9011  0.00139241
     1.56463     26.9411  0.00128774
     1.59028     27.1068  0.00154684
     1.61593     27.5697  0.00150448
     1.64158     28.1615  0.00148064
     1.66723     28.9464  0.00156574
     1.69288     30.0339  0.00146857
     1.71853     31.2345  0.00159731
     1.74418     32.6031  0.00186748
     1.76983     34.1814  0.00161368
     1.79547     35.9077  0.00176273
     1.82112     37.4873  0.00198765
     1.84677     39.1731  0.00213136
     1.87242     40.8524  0.00243016
     1.89807     42.4274  0.00197427
     1.92372     43.8828  0.00197703
     1.94937     45.1789  0.00177352
     1.97502     46.3942  0.00199173
     2.00067     47.3984  0.00196089
     2.02632     48.1442  0.00194321
     2.05197     48.5562  0.00215752
     2.07762     48.5648   0.0018166
     2.10327     48.3319  0.00230079
     2.12892     47.7405  0.00239573
     2.15457     47.0168  0.00236849
     2.18022     46.0391  0.00244139
     2.20587     44.9173  0.00256423
     2.23152     43.7649  0.00269191
     2.25717     42.5718  0.00236958
     2.28282     41.5534  0.00228901
     2.30847     40.5404  0.00263555
     2.33412     39.4646   0.0020543
     2.35977     38.6269  0.00273604
     2.38542     37.8748  0.00258929
     2.41107     37.1918  0.00259263
     2.43672     36.6618  0.00290188
     2.46237     36.2731  0.00250073
     2.48802     35.7235  0.00268341
     2.51366     35.3005  0.00246485
     2.53931     35.4117  0.00248827
