#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45265    -5.45265           0
           2     -5.4765    -5.46458  0.00843394
           3     -5.4654    -5.46485   0.0056271
           4    -5.43523    -5.45745  0.00767701
           5    -5.48074    -5.46211  0.00742223
           6    -5.48994    -5.46674  0.00749577
           7    -5.49268    -5.47045   0.0072831
           8    -5.44874    -5.46773  0.00685975
           9    -5.42733    -5.46324  0.00742264
          10     -5.4256    -5.45948  0.00757514
          11    -5.46338    -5.45983  0.00689477
          12    -5.45227     -5.4592  0.00634899
          13    -5.45911     -5.4592  0.00586061
          14    -5.45246    -5.45872  0.00546172
          15    -5.44521    -5.45782  0.00517125
          16    -5.44885    -5.45726  0.00487832
          17    -5.48812    -5.45907  0.00491754
          18    -5.44443    -5.45826   0.0047111
          19    -5.48962    -5.45991   0.0047435
          20    -5.47052    -5.46044  0.00453593
          21    -5.48884    -5.46179  0.00451705
          22    -5.48395     -5.4628   0.0044226
          23    -5.44748    -5.46213  0.00428014
          24    -5.42909    -5.46076  0.00431757
          25    -5.43695     -5.4598  0.00424855
          26     -5.5095    -5.46172   0.0044946
          27     -5.4853    -5.46259  0.00441218
          28      -5.453    -5.46225  0.00426786
          29    -5.43304    -5.46124  0.00423789
          30    -5.49815    -5.46247  0.00427145
          31    -5.44941    -5.46205  0.00415438
          32    -5.46175    -5.46204  0.00402457
          33    -5.40821    -5.46041   0.0042203
          34    -5.45739    -5.46032  0.00409711
          35    -5.48405      -5.461  0.00403575
          36    -5.44968    -5.46068  0.00393586
          37     -5.4573    -5.46059  0.00383054
          38    -5.46971    -5.46083  0.00373725
          39     -5.4805    -5.46134  0.00367529
          40    -5.48444    -5.46191  0.00362852
