#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.46788     1.46788           0
           2     1.32197     1.39493   0.0515855
           3     1.34633     1.37873   0.0368457
           4     1.56024     1.42411   0.0480412
           5     1.33737     1.40676   0.0414464
           6     1.30376     1.38959   0.0379276
           7     1.26435      1.3717    0.036486
           8     1.47482     1.38459   0.0341263
           9      1.5631     1.40443   0.0356355
          10     1.68419      1.4324   0.0416296
          11      1.4434      1.4334   0.0378571
          12     1.43327     1.43339   0.0347023
          13     1.43403     1.43344    0.032033
          14     1.42296     1.43269   0.0297536
          15     1.50898     1.43778   0.0282014
          16     1.47435     1.44006   0.0265312
          17     1.26233     1.42961   0.0269519
          18     1.53806     1.43563   0.0261193
          19     1.32122     1.42961   0.0254294
          20     1.37037     1.42665   0.0243298
          21     1.23897     1.41771   0.0247583
          22     1.28955     1.41189   0.0243086
          23     1.47133     1.41447   0.0233887
          24     1.53996      1.4197   0.0229912
          25     1.57372     1.42586   0.0228821
          26     1.13973     1.41486   0.0245059
          27     1.35911     1.41279   0.0236851
          28     1.48738     1.41546   0.0229885
          29     1.61886     1.42247   0.0232412
          30     1.25539      1.4169   0.0231242
          31     1.44578     1.41783    0.022397
          32     1.40212     1.41734   0.0217025
          33     1.64941     1.42437   0.0221549
          34     1.47956       1.426   0.0215627
          35     1.33511      1.4234   0.0211024
          36     1.54519     1.42678   0.0207856
          37     1.40578     1.42621   0.0202316
          38     1.39783     1.42547    0.019713
          39     1.33621     1.42318   0.0193399
          40     1.27806     1.41955   0.0191937
