# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 0.000486307  2.2857e-06
    0.872088   0.0557873 6.00385e-05
    0.897737     1.11628 0.000257618
    0.923387     6.82433 0.000661868
    0.949037     23.4811  0.00128664
    0.974686     49.6056  0.00252904
     1.00034     74.8732  0.00321336
     1.02599     94.0305  0.00387638
     1.05164     102.041  0.00420287
     1.07728     100.354  0.00437239
     1.10293     95.6338  0.00423013
     1.12858     87.7283  0.00368137
     1.15423     78.7034  0.00402711
     1.17988     70.5385  0.00380789
     1.20553     61.8676  0.00350048
     1.23118     55.0885  0.00303486
     1.25683     50.2234  0.00403084
     1.28248     45.2522  0.00391299
     1.30813     40.8497   0.0035538
     1.33378     37.7087  0.00351467
     1.35943     34.5625  0.00340022
     1.38508     32.6588  0.00402544
     1.41073     30.7629    0.004206
     1.43638     29.5574  0.00384231
     1.46203     28.2813  0.00353242
     1.48768     27.6744  0.00393741
     1.51333     26.8198  0.00407033
     1.53898     27.2105  0.00361244
     1.56463      27.038  0.00339542
     1.59028     26.9074  0.00421587
     1.61593     27.3366  0.00409558
     1.64158     28.1199  0.00472485
     1.66723      29.239  0.00466416
     1.69288     30.2404  0.00443367
     1.71853      31.128  0.00419351
     1.74418     32.7252  0.00475202
     1.76983     34.1532  0.00409062
     1.79547     35.7353   0.0055191
     1.82112     37.5938  0.00491394
     1.84677     39.4737  0.00522246
     1.87242     41.1183  0.00403044
     1.89807     42.5766  0.00500581
     1.92372     43.9898  0.00645429
     1.94937     45.2687  0.00566238
     1.97502     46.4457  0.00487274
     2.00067      47.119  0.00570152
     2.02632     48.0037   0.0064975
     2.05197     48.3357  0.00596711
     2.07762     48.6271  0.00660284
     2.10327     48.4119  0.00644434
     2.12892     47.6875  0.00590187
     2.15457     46.7383  0.00636392
     2.18022     45.8594  0.00754364
     2.20587     44.8397  0.00650956
     2.23152     43.5022  0.00643751
     2.25717     42.6678  0.00655443
     2.28282     41.6892  0.00718073
     2.30847     40.5767   0.0067002
     2.33412     39.3851  0.00682946
     2.35977     38.4123  0.00736073
     2.38542     37.4124  0.00690979
     2.41107     36.7601  0.00489398
     2.43672     36.2864  0.00553353
     2.46237     35.7619  0.00570513
     2.48802     35.8589  0.00698261
     2.51366     35.7008   0.0068264
     2.53931     35.5464  0.00622392
