#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44756    -5.44756           0
           2    -5.44314    -5.44535  0.00156426
           3     -5.4555    -5.44873  0.00295249
           4    -5.42949    -5.44392  0.00471823
           5    -5.40307    -5.43575   0.0082246
           6     -5.4668    -5.44093  0.00832372
           7    -5.46309    -5.44409  0.00771353
           8    -5.43072    -5.44242  0.00692804
           9    -5.39577    -5.43724  0.00786214
          10    -5.43791    -5.43731  0.00707621
          11    -5.46322    -5.43966  0.00681372
          12    -5.42587    -5.43851  0.00634207
          13      -5.474    -5.44124  0.00641475
          14    -5.45995    -5.44258  0.00609413
          15    -5.44258    -5.44258  0.00568786
          16    -5.47055    -5.44433  0.00559465
          17    -5.46283    -5.44541  0.00537036
          18    -5.45238     -5.4458  0.00508592
          19    -5.41362    -5.44411   0.0050925
          20    -5.47197     -5.4455  0.00502486
          21    -5.51321    -5.44872  0.00572735
          22    -5.46298    -5.44937  0.00550352
          23    -5.45078    -5.44943  0.00526458
          24     -5.4539    -5.44962  0.00504851
          25     -5.4433    -5.44937  0.00485289
          26    -5.44575    -5.44923  0.00466823
          27    -5.41294    -5.44788  0.00468485
          28    -5.42164    -5.44695  0.00461033
          29    -5.45773    -5.44732  0.00446632
          30    -5.43487     -5.4469  0.00433667
          31     -5.4491    -5.44697  0.00419736
          32    -5.42908    -5.44641  0.00410328
          33    -5.43128    -5.44596  0.00400447
          34    -5.40588    -5.44478  0.00405649
          35    -5.46731    -5.44542  0.00399135
          36    -5.46012    -5.44583  0.00390131
          37    -5.42131    -5.44517  0.00385173
          38    -5.43799    -5.44498    0.003755
          39    -5.46029    -5.44537   0.0036792
          40    -5.43092    -5.44501   0.0036049
