#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.59129     1.59129           0
           2     1.43786     1.51458    0.054246
           3     1.34508     1.45808    0.058617
           4     1.53464     1.47722   0.0469843
           5     1.85031     1.55184   0.0765979
           6      1.5244     1.54726    0.063968
           7     1.45803     1.53452   0.0560856
           8     1.52887     1.53381   0.0490793
           9     1.76565     1.55957   0.0499305
          10     1.47374     1.55099   0.0456692
          11     1.47156     1.54377   0.0420843
          12     1.53467     1.54301   0.0385841
          13     1.30877     1.52499   0.0396006
          14     1.69861     1.53739   0.0386651
          15      1.5733     1.53979   0.0361614
          16     1.42124     1.53238   0.0346521
          17     1.41376      1.5254   0.0333088
          18     1.43438     1.52034   0.0318399
          19     1.58627     1.52381   0.0303526
          20     1.45991     1.52062   0.0290026
          21     1.29265     1.50976   0.0295835
          22     1.38763     1.50421   0.0287549
          23     1.35272     1.49762   0.0282489
          24     1.35439     1.49166   0.0276952
          25     1.52837     1.49312   0.0266263
          26     1.40282     1.48965   0.0258277
          27     1.66991     1.49633   0.0257195
          28      1.6978     1.50352   0.0257878
          29     1.41901     1.50061   0.0250627
          30     1.53867     1.50188   0.0242594
          31     1.49093     1.50152   0.0234794
          32     1.55189      1.5031   0.0227984
          33      1.6091     1.50631   0.0223326
          34     1.62124     1.50969   0.0219301
          35     1.42993     1.50741   0.0214216
          36     1.33366     1.50259   0.0213634
          37     1.58536     1.50482   0.0209028
          38     1.62714     1.50804    0.020599
          39     1.44323     1.50638   0.0201378
          40     1.60311      1.5088    0.019779
